"filename","smiles","carbonyl_low_specificty","carbonyl_carbon","carbonyl_nitrogen","carbonyl_oxygen","acyl_halide","aldehyde","anhydride","amide","amidinium","carbamate","carbamic_ester","carbamic_acid","carbonic_ester","carboxylic_acid","ketone"
"C#CCC(C)CC_4-methylhex-1-yne","C#CCC(C)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCC(C)C_4-methyl-1-pentyne","C#CCC(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCC=C_1-penten-4-yne","C#CCC=C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCCC#C_hexa-15-diyne","C#CCCC#C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCCC(C)C_5-methylhex-1-yne","C#CCCC(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCCCCCCC_non-1-yne","C#CCCCCCCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCCCCCC_oct-1-yne","C#CCCCCCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCCCCC_hept-1-yne","C#CCCCCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCCCC_1-hexyne","C#CCCCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCCC_1-pentyne-trans","C#CCCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCC_1-butyne","C#CCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCCl_3-chloropropyne","C#CCCl","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCF_3-fluoropropyne","C#CCF","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCN_propargylamine","C#CCN","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCO_2-propyn-1-ol","C#CCO","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC_propyne","C#CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CCl_chloroacetylene","C#CCl","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CF_fluoroacetylene","C#CF","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CI_iodoacetylene","C#CI","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#COC_methoxyethyne","C#COC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#C[CH2]_propa-12-diene","C#C[CH2]","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#C[GeH3]_ethynylgermane","C#C[GeH3]","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#C[SiH3]_ethynylsilane","C#C[SiH3]","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#C_acetylene","C#C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#Cc1ccccc1_phenylacetylene","C#Cc1ccccc1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#N_hydrogen-cyanide","C#N","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#P_methylidynephosphane","C#P","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#[As]_methylidynearsine","C#[As]","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CC1_cyclopropene","C1=CC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CC2C=CC1C2_25-norbornadiene","C1=CC2C=CC1C2","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CC2CCC1C2_norbornene","C1=CC2CCC1C2","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CC=C1_cyclobutadiene","C1=CC=C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CC=CC=CC=C1_cyclooctatetraene","C1=CC=CC=CC=C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CC=CCC=C1_cyclohepta-135-triene","C1=CC=CCC=C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CC=CPC=C1_1H-phosphepine","C1=CC=CPC=C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CC=C[AsH]C=C1_1H-arsepine","C1=CC=C[AsH]C=C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCC1_cyclobutene","C1=CCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCC=C1_13-cyclopentadiene","C1=CCC=C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCC=CC1_cyclohexa-14-diene","C1=CCC=CC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCCC1_cyclopentene","C1=CCCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCCC=C1_cyclohexa-13-diene","C1=CCCC=C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCCC=CCC1_1Z5Z-cycloocta-15-diene","C1=CCCC=CCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCCCC1_cyclohexene","C1=CCCCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCCCC=C1_13-cycloheptadiene","C1=CCCCC=C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCCCC=CC1_1Z4Z-cycloocta-14-diene","C1=CCCCC=CC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCCCCC1_cycloheptene","C1=CCCCCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCCCCC=C1_1Z3Z-cycloocta-13-diene","C1=CCCCCC=C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCCCCCC1_cyclooctene","C1=CCCCCCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCNC1_25-dihydro-1H-pyrrole","C1=CCNC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCNCC1_1256-tetrahydropyridine","C1=CCNCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCOC1_25-dihydrofuran","C1=CCOC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCOCC1_36-dihydro-2H-pyran","C1=CCOCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCOOC1_36-dihydro-12-dioxin","C1=CCOOC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CCSC1_25-dihydrothiophene","C1=CCSC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=COC=CC1_4H-pyran","C1=COC=CC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=COC=CO1_14-dioxin","C1=COC=CO1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=COCC1_23-dihydrofuran","C1=COCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=COCCC1_34-dihydro-2H-pyran","C1=COCCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=COCCO1_23-dihydro-14-dioxin","C1=COCCO1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=CSCC1_23-dihydrothiophene","C1=CSCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=Cc2cccc3cccc1c23_acenaphthalene","C1=Cc2cccc3cccc1c23","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=Cc2ccccc2C1_1H-indene","C1=Cc2ccccc2C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1=Cc2ccccc2[AsH]1_polybenzarsol","C1=Cc2ccccc2[AsH]1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1C2CC3CC1CC(C2)C3_adamantane","C1C2CC3CC1CC(C2)C3","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CC12CC2_spiropentane","C1CC12CC2","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CC1_cyclopropane","C1CC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CC2CCC1C2_bicyclo-2-2-1-heptane","C1CC2CCC1C2","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCC1_cyclobutane","C1CCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCC2CCCCC2C1_cis-decalin","C1CCC2CCCCC2C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCC2CCCCC2C1_trans-decalin","C1CCC2CCCCC2C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCCCC1_cyclohexane","C1CCCCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCCCCC1_cycloheptane","C1CCCCCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCCCCCC1_cyclooctane","C1CCCCCCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCCNCC1_hexamethyleneimine","C1CCCNCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCNC1_pyrrolidine-axial","C1CCNC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCNCC1_piperidine-axial","C1CCNCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCOC1_tetrahydrofuran","C1CCOC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCOCC1_tetrahydropyran","C1CCOCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCPCC1_phosphinane","C1CCPCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCSC1_tetrahydrothiophene","C1CCSC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CCSCC1_thiane","C1CCSCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CC[NH2]C1_pyrrolidinium","C1CC[NH2]C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CC[Se]CC1_selenane","C1CC[Se]CC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CN1_ethyleneimine","C1CN1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CO1_ethylene-oxide","C1CO1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1COC1_oxetane","C1COC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1COCCN1_morpholine","C1COCCN1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1COCCO1_14-dioxane","C1COCCO1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1COCO1_13-dioxolane","C1COCO1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1COOCO1_124-trioxane","C1COOCO1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CS1_thiacyclopropane","C1CS1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CSC1_thiethane","C1CSC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CSCCO1_14-oxathiane","C1CSCCO1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CSCS1_13-dithiolane","C1CSCS1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1CSCSC1_13-dithiane","C1CSCSC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C1OCOCO1_135-trioxane","C1OCOCO1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C(C)C)C(C)C_24-dimethyl-3-methylidenepentane","C=C(C(C)C)C(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)Br_2-bromopropene","C=C(C)Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C#N_2-methylprop-2-enenitrile","C=C(C)C#N","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C(=C)C_23-dimethyl-13-butadiene","C=C(C)C(=C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C(=O)OC_methyl-methacrylate","C=C(C)C(=O)OC","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C(=O)O_methacrylic-acid","C=C(C)C(=O)O","True","True","False","True","False","False","False","False","False","False","False","False","False","True","False"
"C=C(C)C(C)(C)CC_233-trimethylpent-1-ene","C=C(C)C(C)(C)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C(C)(C)C_233-trimethylbut-1-ene","C=C(C)C(C)(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C(C)=O_methyl-isopropenyl-ketone","C=C(C)C(C)=O","True","True","False","False","False","False","False","False","False","False","False","False","False","False","True"
"C=C(C)C(C)C(C)C_234-trimethylpent-1-ene","C=C(C)C(C)C(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C(C)CCC_23-dimethylhex-1-ene","C=C(C)C(C)CCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C(C)CC_23-dimethylpent-1-ene","C=C(C)C(C)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C(C)C_23-dimethylbut-1-ene","C=C(C)C(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C(CC)CC_3-ethyl-2-methylpent-1-ene","C=C(C)C(CC)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C=CC_3E-2-methylpenta-13-diene","C=C(C)C=CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C=CC_3Z-2-methylpenta-13-diene","C=C(C)C=CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C=O_2-methylpropenal","C=C(C)C=O","True","True","False","False","False","True","False","False","False","False","False","False","False","False","False"
"C=C(C)CC(C)(C)C_244-trimethylpent-1-ene","C=C(C)CC(C)(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)CC(C)CC_24-dimethylhex-1-ene","C=C(C)CC(C)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)CC(C)C_24-dimethylpent-1-ene","C=C(C)CC(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)CCC(=C)C_25-dimethyl-15-hexadiene","C=C(C)CCC(=C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)CCC(C)C_25-dimethylhex-1-ene","C=C(C)CCC(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)CCCCC_2-methylhept-1-ene","C=C(C)CCCCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)CCCC_2-methylhex-1-ene","C=C(C)CCCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)CCC_2-methylpent-1-en","C=C(C)CCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)CC_2-methylbut-1-ene","C=C(C)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)CNCC_n-ethyl-2-methylallylamine","C=C(C)CNCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)C_methylpropene","C=C(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)Cl_2-chloropropene","C=C(C)Cl","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)F_2-fluoropropene","C=C(C)F","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)c1ccc(O)cc1_p-isopropenyl-phenol","C=C(C)c1ccc(O)cc1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(C)c1ccccc1_prop-1-en-2-ylbenzene","C=C(C)c1ccccc1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(CC)C(C)(C)C_2-ethyl-33-dimethylbut-1-ene","C=C(CC)C(C)(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(CC)C(C)CC_3-methyl-4-methylidenehexane","C=C(CC)C(C)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(CC)C(C)C_2-methyl-3-methylidenepentane","C=C(CC)C(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(CC)CC(C)C_2-methyl-4-methylenehexane","C=C(CC)CC(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(CC)CCCC_3-methylideneheptane","C=C(CC)CCCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(CC)CC_2-ethylbut-1-ene","C=C(CC)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(CCC)C(C)C_2-methyl-3-methylenehexane","C=C(CCC)C(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(CCC)CCC_4-methyleneheptane","C=C(CCC)CCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(Cl)Cl_11-dichloroethene","C=C(Cl)Cl","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C(F)F_11-difluoroethene","C=C(F)F","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C1C=C1_methylenecyclopropene","C=C1C=C1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C1CC(=O)O1_diketene","C=C1CC(=O)O1","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
"C=C1CCCCC1_methylenecyclohexane","C=C1CCCCC1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C=C(C)CC_3-methylpenta-12-diene","C=C=C(C)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C=C(C)C_11-dimethylallene","C=C=C(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C=CC(C)C_4-methyl-12-pentadiene","C=C=CC(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C=CCCC_12-hexadiene","C=C=CCCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C=CCC_ethylallene","C=C=CCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C=CC_12-butadiene","C=C=CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C=COC_3-methoxy-12-propadiene","C=C=COC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C=C_12-propadiene","C=C=C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=C=O_ketene","C=C=O","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=CBr_bromoethene","C=CBr","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=CC#CC_1-penten-3-yne","C=CC#CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=CC#N_2-propenenitrile","C=CC#N","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=CC(=C)CC_3-methylenepent-1-ene","C=CC(=C)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=CC(=C)C_2-methyl-13-butadiene","C=CC(=C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C=CC(=O)OC(C)C_isopropyl-acrylate","C=CC(=O)OC(C)C","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
"C=CC(=O)OCC(C)C_isobutyl-acrylate","C=CC(=O)OCC(C)C","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
"C=CC(=O)OCC(C)O_2-hydroxypropyl-acrylate","C=CC(=O)OCC(C)O","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
"C=CC(=O)OCCC_n-propyl-acrylate","C=CC(=O)OCCC","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
"C=CC(=O)OCCOC(=O)C=C_ethylene-glycol-diacrylate","C=CC(=O)OCCOC(=O)C=C","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
"C=CC(=O)OCCO_2-hydroxyethyl-acrylate","C=CC(=O)OCCO","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
"C=CC(=O)OCC_ethyl-acrylate","C=CC(=O)OCC","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
"C=CC(=O)OC_methyl-acrylate","C=CC(=O)OC","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
